paper,Tool,Bug,correct,incorrect,unknown,total
submission,dynamoth,Math-58,0,15,0,15
submission,dynamoth,Math-71,0,1,3,4
submission,dynamoth,Math-97,0,1,9,10
submission,jGenProg,Chart-1,0,1,0,1
submission,jGenProg,Chart-15,0,1,1,2
submission,jGenProg,Chart-25,0,3,34,37
submission,jGenProg,Chart-7,0,5,0,5
submission,jGenProg,Closure-13,0,1,0,1
submission,jGenProg,Closure-22,0,1,8,9
submission,jGenProg,Lang-43,0,1,0,1
submission,jGenProg,Lang-59,0,23,0,23
submission,jGenProg,Lang-63,0,1,14,15
submission,jGenProg,Math-28,0,4,5,9
submission,jGenProg,Math-50,0,8,0,8
submission,jGenProg,Math-53,0,2,0,2
submission,jGenProg,Math-73,0,1,9,10
submission,jGenProg,Math-8,0,1,0,1
submission,jGenProg,Math-80,0,6,0,6
submission,jGenProg,Math-81,0,3,9,12
submission,jGenProg,Math-82,0,4,0,4
submission,jGenProg,Math-85,0,3,0,3
submission,jGenProg,Math-95,0,2,12,14
submission,jKali,Chart-13,0,1,4,5
submission,jKali,Chart-15,0,1,62,63
submission,jKali,Chart-26,0,1,34,35
submission,jKali,Chart-5,0,1,0,1
submission,jKali,Closure-129,0,1,0,1
submission,jKali,Closure-13,0,1,1,2
submission,jKali,Closure-22,0,1,6,7
submission,jKali,Closure-62,0,1,0,1
submission,jKali,Lang-51,0,1,1,2
submission,jKali,Lang-55,0,2,0,2
submission,jKali,Lang-63,0,1,11,12
submission,jKali,Math-32,0,1,0,1
submission,jKali,Math-49,0,1,3,4
submission,jKali,Math-80,0,14,0,14
submission,jMutRepair,Chart-25,0,1,23,24
submission,jMutRepair,Chart-7,0,1,0,1
submission,jMutRepair,Closure-10,0,1,0,1
submission,jMutRepair,Lang-51,0,1,1,2
submission,jMutRepair,Lang-58,0,2,0,2
submission,jMutRepair,Math-28,0,1,10,11
submission,jMutRepair,Math-50,0,1,0,1
submission,jMutRepair,Math-57,0,1,0,1
submission,jMutRepair,Math-58,0,1,0,1
submission,jMutRepair,Math-80,0,2,0,2
submission,jMutRepair,Math-84,0,2,2,4
submission,jMutRepair,Math-88,0,1,0,1
submission,kPAR,Chart-5,0,1,8,9
submission,kPAR,Chart-7,0,6,0,6
submission,kPAR,Lang-44,0,1,8,9
submission,kPAR,Lang-51,0,1,5,6
submission,kPAR,Lang-57,0,1,0,1
submission,kPAR,Lang-58,0,27,0,27
submission,kPAR,Lang-63,0,2,5,7
submission,kPAR,Math-33,0,12,0,12
submission,kPAR,Math-62,0,2,1,3
submission,kPAR,Math-81,0,2,109,111
submission,kPAR,Math-84,0,1,4,5
submission,kPAR,Math-88,0,1,0,1
submission,Avatar,Chart-13,0,0,3,3
submission,Avatar,Chart-15,0,0,2,2
submission,Avatar,Chart-26,0,0,5,5
submission,Avatar,Lang-10,0,0,3,3
submission,Avatar,Lang-63,0,0,1,1
submission,Avatar,Math-28,0,0,10,10
submission,Avatar,Math-6,0,0,1,1
submission,Avatar,Math-73,0,0,1,1
submission,FixMiner,Chart-26,0,0,4,4
submission,FixMiner,Lang-63,0,0,1,1
submission,Nopol,Chart-21,0,0,2,2
submission,Nopol,Closure-1,0,0,1,1
submission,Nopol,Closure-114,0,0,2,2
submission,Nopol,Closure-115,0,0,2,2
submission,Nopol,Closure-116,0,0,1,1
submission,Nopol,Closure-120,0,0,3,3
submission,Nopol,Closure-121,0,0,3,3
submission,Nopol,Closure-125,0,0,2,2
submission,Nopol,Closure-127,0,0,1,1
submission,Nopol,Closure-129,0,0,2,2
submission,Nopol,Closure-13,0,0,1,1
submission,Nopol,Closure-130,0,0,22,22
submission,Nopol,Closure-131,0,0,2,2
submission,Nopol,Closure-132,0,0,1,1
submission,Nopol,Closure-16,0,0,1,1
submission,Nopol,Closure-17,0,0,1,1
submission,Nopol,Closure-18,0,0,1,1
submission,Nopol,Closure-20,0,0,1,1
submission,Nopol,Closure-22,0,0,6,6
submission,Nopol,Closure-26,0,0,2,2
submission,Nopol,Closure-28,0,0,8,8
submission,Nopol,Closure-29,0,0,1,1
submission,Nopol,Closure-30,0,0,1,1
submission,Nopol,Closure-36,0,0,5,5
submission,Nopol,Closure-49,0,0,2,2
submission,Nopol,Closure-5,0,0,1,1
submission,Nopol,Closure-50,0,0,1,1
submission,Nopol,Closure-60,0,0,1,1
submission,Nopol,Closure-61,0,0,1,1
submission,Nopol,Closure-66,0,0,1,1
submission,Nopol,Closure-67,0,0,1,1
submission,Nopol,Closure-72,0,0,2,2
submission,Nopol,Closure-75,0,0,1,1
submission,Nopol,Closure-76,0,0,1,1
submission,Nopol,Closure-8,0,0,2,2
submission,Nopol,Lang-44,0,0,1,1
submission,Nopol,Lang-53,0,0,4,4
submission,Nopol,Math-18,0,0,14,14
submission,Nopol,Math-24,0,0,2,2
submission,Nopol,Math-4,0,0,2,2
submission,Nopol,Math-73,0,0,1,1
submission,Nopol,Math-78,0,0,2,2
submission,Nopol,Math-88,0,0,4,4
submission,Nopol,Time-12,0,0,2,2
submission,Nopol,Time-14,0,0,1,1
submission,Nopol,Time-16,0,0,4,4
submission,Nopol,Time-19,0,0,2,2
submission,SimFix,Chart-22,0,0,5,5
submission,SimFix,Chart-3,0,0,1,1
submission,SimFix,Closure-106,0,0,2,2
submission,SimFix,Closure-79,0,0,1,1
submission,SimFix,Lang-41,0,0,1,1
submission,SimFix,Lang-44,0,0,2,2
submission,SimFix,Lang-50,0,0,8,8
submission,SimFix,Lang-60,0,0,4,4
submission,SimFix,Math-20,0,0,11,11
submission,SimFix,Math-35,0,0,1,1
submission,SimFix,Math-72,0,0,14,14
submission,SimFix,Math-98,0,0,10,10
submission,TBar,Closure-10,0,0,3,3
submission,TBar,Closure-109,0,0,2,2
submission,TBar,Closure-21,0,0,14,14
submission,TBar,Lang-63,0,0,1,1
submission,TBar,Math-32,0,0,1,1
submission,TBar,Time-17,0,0,1,1
submission,dynamoth,Chart-15,0,0,19,19
submission,dynamoth,Chart-17,0,0,20,20
submission,dynamoth,Chart-26,0,0,1,1
submission,dynamoth,Closure-22,0,0,6,6
submission,dynamoth,Closure-59,0,0,1,1
submission,dynamoth,Closure-66,0,0,1,1
submission,dynamoth,Closure-75,0,0,10,10
submission,dynamoth,Lang-44,0,0,10,10
submission,dynamoth,Math-24,0,0,20,20
submission,dynamoth,Math-40,0,0,10,10
submission,dynamoth,Math-46,0,0,10,10
submission,dynamoth,Math-78,0,0,12,12
submission,dynamoth,Math-87,0,0,2,2
submission,dynamoth,Time-4,0,0,2,2
submission,jGenProg,Chart-12,0,0,1,1
submission,jGenProg,Chart-13,0,0,57,57
submission,jGenProg,Chart-19,0,0,2,2
submission,jGenProg,Chart-26,0,0,14,14
submission,jGenProg,Chart-3,0,0,36,36
submission,jGenProg,Chart-5,0,0,2,2
submission,jGenProg,Closure-109,0,0,5,5
submission,jGenProg,Closure-115,0,0,1,1
submission,jGenProg,Closure-125,0,0,1,1
submission,jGenProg,Closure-21,0,0,3,3
submission,jGenProg,Closure-59,0,0,1,1
submission,jGenProg,Closure-66,0,0,1,1
submission,jGenProg,Closure-68,0,0,1,1
submission,jGenProg,Lang-22,0,0,1,1
submission,jGenProg,Lang-45,0,0,3,3
submission,jGenProg,Lang-51,0,0,49,49
submission,jGenProg,Lang-60,0,0,2,2
submission,jGenProg,Math-40,0,0,2,2
submission,jGenProg,Math-49,0,0,2,2
submission,jGenProg,Math-60,0,0,1,1
submission,jGenProg,Math-64,0,0,1,1
submission,jGenProg,Math-71,0,0,2,2
submission,jGenProg,Math-78,0,0,8,8
submission,jGenProg,Time-11,0,0,1,1
submission,jGenProg,Time-4,0,0,15,15
submission,jKali,Chart-25,0,0,8,8
submission,jKali,Closure-45,0,0,1,1
submission,jKali,Closure-59,0,0,1,1
submission,jKali,Lang-22,0,0,2,2
submission,jKali,Math-28,0,0,4,4
submission,jKali,Math-95,0,0,4,4
submission,jKali,Time-11,0,0,1,1
submission,jKali,Time-4,0,0,1,1
submission,jMutRepair,Closure-115,0,0,1,1
submission,jMutRepair,Closure-21,0,0,6,6
submission,jMutRepair,Lang-44,0,0,1,1
submission,jMutRepair,Lang-63,0,0,4,4
submission,jMutRepair,Math-81,0,0,25,25
submission,kPAR,Chart-15,0,0,2,2
submission,kPAR,Chart-25,0,0,18,18
submission,kPAR,Chart-26,0,0,10,10
submission,kPAR,Lang-7,0,0,88,88
submission,kPAR,Math-4,0,0,56,56
submission,kPAR,Time-18,0,0,40,40
